GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino
1500000US130670301013,1.31E+11,Block Group 3 Census Tract 301.01 Cobb County Georgia,3028,2819,209
1500000US130670301014,1.31E+11,Block Group 4 Census Tract 301.01 Cobb County Georgia,1773,1773,0
1500000US130670301031,1.31E+11,Block Group 1 Census Tract 301.03 Cobb County Georgia,2061,1931,130
1500000US130670301032,1.31E+11,Block Group 2 Census Tract 301.03 Cobb County Georgia,2733,2732,1
1500000US130670301033,1.31E+11,Block Group 3 Census Tract 301.03 Cobb County Georgia,4579,4091,488
1500000US130670301041,1.31E+11,Block Group 1 Census Tract 301.04 Cobb County Georgia,934,716,218
1500000US130670301042,1.31E+11,Block Group 2 Census Tract 301.04 Cobb County Georgia,2709,2456,253
1500000US130670301061,1.31E+11,Block Group 1 Census Tract 301.06 Cobb County Georgia,2384,2092,292
1500000US130670301062,1.31E+11,Block Group 2 Census Tract 301.06 Cobb County Georgia,2037,1580,457
1500000US130670301063,1.31E+11,Block Group 3 Census Tract 301.06 Cobb County Georgia,3149,2830,319
1500000US130670301071,1.31E+11,Block Group 1 Census Tract 301.07 Cobb County Georgia,2059,1913,146
1500000US130670301072,1.31E+11,Block Group 2 Census Tract 301.07 Cobb County Georgia,2611,2361,250
1500000US130670302091,1.31E+11,Block Group 1 Census Tract 302.09 Cobb County Georgia,1558,1516,42
1500000US130670302092,1.31E+11,Block Group 2 Census Tract 302.09 Cobb County Georgia,1987,1947,40
1500000US130670302093,1.31E+11,Block Group 3 Census Tract 302.09 Cobb County Georgia,3047,2749,298
1500000US130670302141,1.31E+11,Block Group 1 Census Tract 302.14 Cobb County Georgia,3225,3137,88
1500000US130670302142,1.31E+11,Block Group 2 Census Tract 302.14 Cobb County Georgia,2255,2126,129
1500000US130670302143,1.31E+11,Block Group 3 Census Tract 302.14 Cobb County Georgia,2962,2464,498
1500000US130670302151,1.31E+11,Block Group 1 Census Tract 302.15 Cobb County Georgia,2489,2284,205
1500000US130670302152,1.31E+11,Block Group 2 Census Tract 302.15 Cobb County Georgia,1562,1052,510
1500000US130670302153,1.31E+11,Block Group 3 Census Tract 302.15 Cobb County Georgia,1342,998,344
1500000US130670302154,1.31E+11,Block Group 4 Census Tract 302.15 Cobb County Georgia,3782,3398,384
1500000US130670302181,1.31E+11,Block Group 1 Census Tract 302.18 Cobb County Georgia,2959,2608,351
1500000US130670302182,1.31E+11,Block Group 2 Census Tract 302.18 Cobb County Georgia,2642,2560,82
1500000US130670302191,1.31E+11,Block Group 1 Census Tract 302.19 Cobb County Georgia,2271,2154,117
1500000US130670302192,1.31E+11,Block Group 2 Census Tract 302.19 Cobb County Georgia,2224,2068,156
1500000US130670302193,1.31E+11,Block Group 3 Census Tract 302.19 Cobb County Georgia,2554,2509,45
1500000US130670302194,1.31E+11,Block Group 4 Census Tract 302.19 Cobb County Georgia,2271,2142,129
1500000US130670302201,1.31E+11,Block Group 1 Census Tract 302.20 Cobb County Georgia,1810,1687,123
1500000US130670302221,1.31E+11,Block Group 1 Census Tract 302.22 Cobb County Georgia,2793,2755,38
1500000US130670302222,1.31E+11,Block Group 2 Census Tract 302.22 Cobb County Georgia,2162,1945,217
1500000US130670302223,1.31E+11,Block Group 3 Census Tract 302.22 Cobb County Georgia,915,893,22
1500000US130670302231,1.31E+11,Block Group 1 Census Tract 302.23 Cobb County Georgia,2845,2676,169
1500000US130670302232,1.31E+11,Block Group 2 Census Tract 302.23 Cobb County Georgia,2195,1908,287
1500000US130670302233,1.31E+11,Block Group 3 Census Tract 302.23 Cobb County Georgia,685,601,84
1500000US130670302241,1.31E+11,Block Group 1 Census Tract 302.24 Cobb County Georgia,5076,4617,459
1500000US130670302242,1.31E+11,Block Group 2 Census Tract 302.24 Cobb County Georgia,1153,1046,107
1500000US130670302261,1.31E+11,Block Group 1 Census Tract 302.26 Cobb County Georgia,4093,3513,580
1500000US130670302262,1.31E+11,Block Group 2 Census Tract 302.26 Cobb County Georgia,1657,1539,118
1500000US130670302263,1.31E+11,Block Group 3 Census Tract 302.26 Cobb County Georgia,2780,2612,168
1500000US130670302271,1.31E+11,Block Group 1 Census Tract 302.27 Cobb County Georgia,1920,1429,491
1500000US130670302272,1.31E+11,Block Group 2 Census Tract 302.27 Cobb County Georgia,3152,2776,376
1500000US130670302273,1.31E+11,Block Group 3 Census Tract 302.27 Cobb County Georgia,2623,2440,183
1500000US130670302281,1.31E+11,Block Group 1 Census Tract 302.28 Cobb County Georgia,2490,2151,339
1500000US130670302282,1.31E+11,Block Group 2 Census Tract 302.28 Cobb County Georgia,929,840,89
1500000US130670302283,1.31E+11,Block Group 3 Census Tract 302.28 Cobb County Georgia,2294,1877,417
1500000US130670302284,1.31E+11,Block Group 4 Census Tract 302.28 Cobb County Georgia,1366,1328,38
1500000US130670302291,1.31E+11,Block Group 1 Census Tract 302.29 Cobb County Georgia,255,255,0
1500000US130670302292,1.31E+11,Block Group 2 Census Tract 302.29 Cobb County Georgia,4970,4515,455
1500000US130670302301,1.31E+11,Block Group 1 Census Tract 302.30 Cobb County Georgia,8323,6529,1794
1500000US130670302302,1.31E+11,Block Group 2 Census Tract 302.30 Cobb County Georgia,4964,4759,205
1500000US130670302311,1.31E+11,Block Group 1 Census Tract 302.31 Cobb County Georgia,834,709,125
1500000US130670302312,1.31E+11,Block Group 2 Census Tract 302.31 Cobb County Georgia,1840,1840,0
1500000US130670302313,1.31E+11,Block Group 3 Census Tract 302.31 Cobb County Georgia,1787,1773,14
1500000US130670302314,1.31E+11,Block Group 4 Census Tract 302.31 Cobb County Georgia,2825,2762,63
1500000US130670302321,1.31E+11,Block Group 1 Census Tract 302.32 Cobb County Georgia,2791,2471,320
1500000US130670302322,1.31E+11,Block Group 2 Census Tract 302.32 Cobb County Georgia,2942,2528,414
1500000US130670302331,1.31E+11,Block Group 1 Census Tract 302.33 Cobb County Georgia,1593,1395,198
1500000US130670302332,1.31E+11,Block Group 2 Census Tract 302.33 Cobb County Georgia,2626,2515,111
1500000US130670302341,1.31E+11,Block Group 1 Census Tract 302.34 Cobb County Georgia,3051,2958,93
1500000US130670302342,1.31E+11,Block Group 2 Census Tract 302.34 Cobb County Georgia,2778,2713,65
1500000US130670302351,1.31E+11,Block Group 1 Census Tract 302.35 Cobb County Georgia,1678,1615,63
1500000US130670302352,1.31E+11,Block Group 2 Census Tract 302.35 Cobb County Georgia,3180,3010,170
1500000US130670302361,1.31E+11,Block Group 1 Census Tract 302.36 Cobb County Georgia,2756,2730,26
1500000US130670302362,1.31E+11,Block Group 2 Census Tract 302.36 Cobb County Georgia,1907,1851,56
1500000US130670302381,1.31E+11,Block Group 1 Census Tract 302.38 Cobb County Georgia,3489,3477,12
1500000US130670302382,1.31E+11,Block Group 2 Census Tract 302.38 Cobb County Georgia,3267,3162,105
1500000US130670302391,1.31E+11,Block Group 1 Census Tract 302.39 Cobb County Georgia,1852,1440,412
1500000US130670302392,1.31E+11,Block Group 2 Census Tract 302.39 Cobb County Georgia,3134,2893,241
1500000US130670302393,1.31E+11,Block Group 3 Census Tract 302.39 Cobb County Georgia,3302,3230,72
