GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - No schooling completed,Estimate; Total: - Nursery school,Estimate; Total: - Kindergarten,Estimate; Total: - 1st grade,Estimate; Total: - 2nd grade,Estimate; Total: - 3rd grade,Estimate; Total: - 4th grade,Estimate; Total: - 5th grade,Estimate; Total: - 6th grade,Estimate; Total: - 7th grade,Estimate; Total: - 8th grade,Estimate; Total: - 9th grade,Estimate; Total: - 10th grade,Estimate; Total: - 11th grade,Estimate; Total: - 12th grade no diploma,Estimate; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Estimate; Total: - Some college less than 1 year,Estimate; Total: - Some college 1 or more years no degree,Estimate; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Estimate; Total: - Professional school degree,Estimate; Total: - Doctorate degree
0100000US,,United States,"209,056,129","2,886,666","28,612","38,463","140,352","316,010","656,325","516,574","728,363","2,768,475","1,054,643","3,059,196","3,555,052","4,264,386","4,813,043","3,761,588","50,169,338","8,271,262","13,102,493","31,139,065","16,580,076","38,184,668","16,246,947","4,088,689","2,685,843"
1500000US130630405231,130630000000,Block Group 1 Census Tract 405.23 Clayton County Georgia,1959,22,0,0,0,0,33,0,0,117,21,39,123,14,156,8,625,62,71,290,114,125,131,0,8
1500000US130630405241,130630000000,Block Group 1 Census Tract 405.24 Clayton County Georgia,1209,33,0,0,0,0,0,0,0,0,0,0,0,50,26,71,311,32,50,317,77,164,56,22,0
1500000US130630405242,130630000000,Block Group 2 Census Tract 405.24 Clayton County Georgia,1574,0,0,0,0,0,0,0,0,109,41,13,0,0,20,0,398,119,154,205,131,321,51,12,0
1500000US130630405243,130630000000,Block Group 3 Census Tract 405.24 Clayton County Georgia,501,0,0,0,0,0,0,0,0,0,0,14,0,65,0,0,86,0,11,127,75,76,30,0,17
1500000US130630405244,130630000000,Block Group 4 Census Tract 405.24 Clayton County Georgia,1297,58,0,0,0,0,0,0,0,77,0,37,0,0,28,16,244,41,58,344,151,198,45,0,0
1500000US130630405251,130630000000,Block Group 1 Census Tract 405.25 Clayton County Georgia,1628,60,0,0,0,0,0,24,0,0,0,5,26,31,71,48,429,84,134,295,118,203,59,3,38
1500000US130630405261,130630000000,Block Group 1 Census Tract 405.26 Clayton County Georgia,1198,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,469,163,84,114,84,220,20,9,0
1500000US130630405262,130630000000,Block Group 2 Census Tract 405.26 Clayton County Georgia,1078,0,0,0,0,0,0,0,0,42,0,0,18,80,52,0,331,74,146,173,58,94,10,0,0
1500000US130630405263,130630000000,Block Group 3 Census Tract 405.26 Clayton County Georgia,867,0,0,0,0,0,12,0,0,0,0,20,0,0,68,0,94,49,81,310,60,114,59,0,0
1500000US130630406061,130630000000,Block Group 1 Census Tract 406.06 Clayton County Georgia,1259,0,0,0,0,0,0,0,0,0,0,0,99,48,51,0,445,29,67,217,95,172,31,5,0
