GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66
1500000US130670303104,130670000000,Block Group 4 Census Tract 303.10 Cobb County Georgia,2308,727,388,206,34,0,148,0,0,89,0,0,31,0,0,58,250,419,260,191,0,0,69,0,0,35,0,17,0,0,0,18,124,875,702,542,101,19,40,0,0,27,0,0,0,0,0,0,27,146,287,64,0,0,64,0,0,223,0,41,59,0,0,0,123,0
1500000US130670303105,130670000000,Block Group 5 Census Tract 303.10 Cobb County Georgia,1270,215,160,105,9,0,46,0,0,36,0,0,0,0,0,36,19,537,496,414,64,0,0,0,18,21,0,0,0,0,0,21,20,456,341,272,34,0,0,0,35,15,0,0,0,15,0,0,0,100,62,31,0,0,31,0,0,31,0,0,31,0,0,0,0,0
1500000US130670303111,130670000000,Block Group 1 Census Tract 303.11 Cobb County Georgia,1816,457,457,409,31,0,17,0,0,0,0,0,0,0,0,0,0,247,128,93,35,0,0,0,0,0,0,0,0,0,0,0,119,911,670,599,62,9,0,0,0,87,39,25,0,13,0,0,10,154,201,32,0,0,32,0,0,169,0,61,50,11,0,10,37,0
1500000US130670303112,130670000000,Block Group 2 Census Tract 303.11 Cobb County Georgia,1130,184,154,70,16,0,68,0,0,15,15,0,0,0,0,0,15,124,104,69,35,0,0,0,0,0,0,0,0,0,0,0,20,738,493,393,89,0,0,11,0,46,33,13,0,0,0,0,0,199,84,12,0,0,12,0,0,72,0,23,49,0,0,0,0,0
1500000US130670303113,130670000000,Block Group 3 Census Tract 303.11 Cobb County Georgia,1111,331,320,310,0,0,10,0,0,11,11,0,0,0,0,0,0,145,105,87,18,0,0,0,0,40,40,0,0,0,0,0,0,513,470,443,12,0,0,0,15,17,0,0,0,0,17,0,0,26,122,43,0,0,43,0,0,79,0,50,0,0,0,0,29,0
1500000US130670303114,130670000000,Block Group 4 Census Tract 303.11 Cobb County Georgia,2019,402,358,154,45,0,159,0,0,44,44,0,0,0,0,0,0,442,370,301,54,0,15,0,0,0,0,0,0,0,0,0,72,915,819,680,103,36,0,0,0,0,0,0,0,0,0,0,0,96,260,15,0,0,15,0,0,245,0,50,96,0,0,0,99,0
1500000US130670303121,130670000000,Block Group 1 Census Tract 303.12 Cobb County Georgia,2602,547,545,498,0,0,47,0,0,2,0,0,0,0,0,2,0,246,245,154,89,0,2,0,0,0,0,0,0,0,0,0,1,1327,1108,1064,44,0,0,0,0,66,0,0,0,57,0,0,9,153,482,105,27,0,78,0,0,355,0,133,110,0,0,0,112,22
1500000US130670303122,130670000000,Block Group 2 Census Tract 303.12 Cobb County Georgia,1576,490,262,131,0,0,102,29,0,0,0,0,0,0,0,0,228,393,268,268,0,0,0,0,0,0,0,0,0,0,0,0,125,551,411,375,13,23,0,0,0,15,0,0,0,0,0,0,15,125,142,67,19,0,48,0,0,75,0,60,15,0,0,0,0,0
1500000US130670303123,130670000000,Block Group 3 Census Tract 303.12 Cobb County Georgia,1253,192,130,82,20,0,0,28,0,17,17,0,0,0,0,0,45,269,217,145,43,0,29,0,0,0,0,0,0,0,0,0,52,560,331,311,20,0,0,0,0,133,91,0,0,0,0,21,21,96,232,45,0,0,45,0,0,187,0,20,14,0,0,0,153,0
1500000US130670303124,130670000000,Block Group 4 Census Tract 303.12 Cobb County Georgia,711,214,195,195,0,0,0,0,0,19,0,0,0,0,0,19,0,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,305,284,180,104,0,0,0,0,0,0,0,0,0,0,0,0,21,120,58,0,0,58,0,0,62,0,32,16,0,0,0,14,0
