GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Households with one or more people 65 years and over:,Estimate; Households with one or more people 65 years and over: - 1-person household,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household:,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Estimate; Households with no people 65 years and over:,Estimate; Households with no people 65 years and over: - 1-person households,Estimate; Households with no people 65 years and over: - 2-or-more-person household:,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households
1500000US130630406131,130630000000,Block Group 1 Census Tract 406.13 Clayton County Georgia,829,141,11,130,130,0,688,153,535,535,0
1500000US130630406132,130630000000,Block Group 2 Census Tract 406.13 Clayton County Georgia,700,228,108,120,120,0,472,195,277,267,10
1500000US130630406133,130630000000,Block Group 3 Census Tract 406.13 Clayton County Georgia,1176,135,14,121,121,0,1041,312,729,729,0
1500000US130630406141,130630000000,Block Group 1 Census Tract 406.14 Clayton County Georgia,615,355,145,210,210,0,260,85,175,129,46
1500000US130630406142,130630000000,Block Group 2 Census Tract 406.14 Clayton County Georgia,707,289,35,254,254,0,418,128,290,282,8
1500000US130630406143,130630000000,Block Group 3 Census Tract 406.14 Clayton County Georgia,459,83,18,65,65,0,376,36,340,340,0
1500000US130630406151,130630000000,Block Group 1 Census Tract 406.15 Clayton County Georgia,622,118,13,105,105,0,504,60,444,429,15
1500000US130630406161,130630000000,Block Group 1 Census Tract 406.16 Clayton County Georgia,2060,127,42,85,85,0,1933,715,1218,1122,96
1500000US130630406162,130630000000,Block Group 2 Census Tract 406.16 Clayton County Georgia,329,62,30,32,32,0,267,164,103,88,15
1500000US130630406163,130630000000,Block Group 3 Census Tract 406.16 Clayton County Georgia,558,121,29,92,92,0,437,147,290,290,0
1500000US130630406171,130630000000,Block Group 1 Census Tract 406.17 Clayton County Georgia,421,57,16,41,41,0,364,79,285,261,24
1500000US130630406191,130630000000,Block Group 1 Census Tract 406.19 Clayton County Georgia,990,106,29,77,77,0,884,234,650,603,47
1500000US130630406201,130630000000,Block Group 1 Census Tract 406.20 Clayton County Georgia,1095,206,64,142,142,0,889,153,736,734,2
1500000US130630406211,130630000000,Block Group 1 Census Tract 406.21 Clayton County Georgia,1583,264,20,244,244,0,1319,254,1065,968,97
1500000US130630406212,130630000000,Block Group 2 Census Tract 406.21 Clayton County Georgia,1299,218,61,157,122,35,1081,211,870,786,84
1500000US130630406221,130630000000,Block Group 1 Census Tract 406.22 Clayton County Georgia,961,69,24,45,35,10,892,309,583,560,23
1500000US130630406222,130630000000,Block Group 2 Census Tract 406.22 Clayton County Georgia,991,154,70,84,84,0,837,142,695,666,29
1500000US130630406223,130630000000,Block Group 3 Census Tract 406.22 Clayton County Georgia,317,72,11,61,61,0,245,67,178,178,0
1500000US130639800001,130640000000,Block Group 1 Census Tract 9800 Clayton County Georgia,0,0,0,0,0,0,0,0,0,0,0
1500000US130670301011,130670000000,Block Group 1 Census Tract 301.01 Cobb County Georgia,387,77,0,77,77,0,310,57,253,249,4
1500000US130670301012,130670000000,Block Group 2 Census Tract 301.01 Cobb County Georgia,615,164,59,105,105,0,451,87,364,353,11
1500000US130670301013,130670000000,Block Group 3 Census Tract 301.01 Cobb County Georgia,942,246,13,233,220,13,696,70,626,591,35
1500000US130670301014,130670000000,Block Group 4 Census Tract 301.01 Cobb County Georgia,683,181,43,138,138,0,502,133,369,349,20
1500000US130670301031,130670000000,Block Group 1 Census Tract 301.03 Cobb County Georgia,701,136,61,75,75,0,565,197,368,368,0
1500000US130670301032,130670000000,Block Group 2 Census Tract 301.03 Cobb County Georgia,935,301,64,237,221,16,634,166,468,410,58
1500000US130670301033,130670000000,Block Group 3 Census Tract 301.03 Cobb County Georgia,1655,182,43,139,139,0,1473,251,1222,1048,174
1500000US130670301041,130670000000,Block Group 1 Census Tract 301.04 Cobb County Georgia,376,97,74,23,23,0,279,34,245,219,26
1500000US130670301042,130670000000,Block Group 2 Census Tract 301.04 Cobb County Georgia,1065,250,197,53,53,0,815,102,713,621,92
1500000US130670301061,130670000000,Block Group 1 Census Tract 301.06 Cobb County Georgia,815,101,44,57,57,0,714,117,597,554,43
1500000US130670301062,130670000000,Block Group 2 Census Tract 301.06 Cobb County Georgia,701,147,14,133,133,0,554,127,427,427,0
1500000US130670301063,130670000000,Block Group 3 Census Tract 301.06 Cobb County Georgia,1304,124,60,64,64,0,1180,433,747,657,90
1500000US130670301071,130670000000,Block Group 1 Census Tract 301.07 Cobb County Georgia,709,219,16,203,194,9,490,37,453,453,0
1500000US130670301072,130670000000,Block Group 2 Census Tract 301.07 Cobb County Georgia,943,108,51,57,49,8,835,191,644,620,24
1500000US130670302091,130670000000,Block Group 1 Census Tract 302.09 Cobb County Georgia,628,192,18,174,174,0,436,105,331,299,32
1500000US130670302092,130670000000,Block Group 2 Census Tract 302.09 Cobb County Georgia,817,159,0,159,115,44,658,201,457,445,12
1500000US130670302093,130670000000,Block Group 3 Census Tract 302.09 Cobb County Georgia,975,177,93,84,84,0,798,67,731,712,19
1500000US130670302141,130670000000,Block Group 1 Census Tract 302.14 Cobb County Georgia,1009,173,38,135,135,0,836,153,683,683,0
1500000US130670302142,130670000000,Block Group 2 Census Tract 302.14 Cobb County Georgia,948,119,42,77,77,0,829,223,606,574,32
1500000US130670302143,130670000000,Block Group 3 Census Tract 302.14 Cobb County Georgia,920,156,47,109,109,0,764,124,640,640,0
1500000US130670302151,130670000000,Block Group 1 Census Tract 302.15 Cobb County Georgia,782,73,27,46,46,0,709,78,631,610,21
1500000US130670302152,130670000000,Block Group 2 Census Tract 302.15 Cobb County Georgia,545,135,56,79,79,0,410,138,272,264,8
