GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36
Id,Id2,Geography,Estimate; Total:,Estimate; 16 to 19 years:,Estimate; 16 to 19 years: - Worked in the past 12 months:,Estimate; 16 to 19 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 16 to 19 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 16 to 19 years: - Did not work in the past 12 months,Estimate; 20 to 24 years:,Estimate; 20 to 24 years: - Worked in the past 12 months:,Estimate; 20 to 24 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 20 to 24 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 20 to 24 years: - Did not work in the past 12 months,Estimate; 25 to 44 years:,Estimate; 25 to 44 years: - Worked in the past 12 months:,Estimate; 25 to 44 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 25 to 44 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 25 to 44 years: - Did not work in the past 12 months,Estimate; 45 to 54 years:,Estimate; 45 to 54 years: - Worked in the past 12 months:,Estimate; 45 to 54 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 45 to 54 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 45 to 54 years: - Did not work in the past 12 months,Estimate; 55 to 64 years:,Estimate; 55 to 64 years: - Worked in the past 12 months:,Estimate; 55 to 64 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 55 to 64 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 55 to 64 years: - Did not work in the past 12 months,Estimate; 65 to 69 years:,Estimate; 65 to 69 years: - Worked in the past 12 months:,Estimate; 65 to 69 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 65 to 69 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 65 to 69 years: - Did not work in the past 12 months,Estimate; 70 years and over:,Estimate; 70 years and over: - Worked in the past 12 months:,Estimate; 70 years and over: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 70 years and over: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 70 years and over: - Did not work in the past 12 months
1500000US130890212092,130890000000,Block Group 2 Census Tract 212.09 DeKalb County Georgia,1465,0,0,0,0,0,207,104,104,0,103,556,556,442,114,0,302,273,212,61,29,191,150,90,60,41,167,15,0,15,152,42,15,0,15,27
1500000US130890212093,130890000000,Block Group 3 Census Tract 212.09 DeKalb County Georgia,1670,0,0,0,0,0,32,32,10,22,0,486,486,385,101,0,130,94,80,14,36,133,56,52,4,77,188,0,0,0,188,701,0,0,0,701
1500000US130890212094,130890000000,Block Group 4 Census Tract 212.09 DeKalb County Georgia,886,44,0,0,0,44,20,20,20,0,0,345,331,315,16,14,114,88,78,10,26,130,68,42,26,62,76,42,27,15,34,157,18,0,18,139
1500000US130890212101,130890000000,Block Group 1 Census Tract 212.10 DeKalb County Georgia,1384,43,21,0,21,22,28,28,0,28,0,531,443,367,76,88,314,280,168,112,34,130,73,47,26,57,85,48,0,48,37,253,22,22,0,231
1500000US130890212102,130890000000,Block Group 2 Census Tract 212.10 DeKalb County Georgia,1002,77,24,0,24,53,42,0,0,0,42,134,109,82,27,25,217,207,134,73,10,254,240,197,43,14,41,13,6,7,28,237,41,13,28,196
1500000US130890212103,130890000000,Block Group 3 Census Tract 212.10 DeKalb County Georgia,1767,109,23,0,23,86,47,47,0,47,0,507,416,304,112,91,434,353,303,50,81,258,218,167,51,40,183,66,57,9,117,229,39,0,39,190
1500000US130890212111,130890000000,Block Group 1 Census Tract 212.11 DeKalb County Georgia,1203,66,13,0,13,53,0,0,0,0,0,174,142,120,22,32,115,100,100,0,15,246,169,107,62,77,156,61,0,61,95,446,32,8,24,414
1500000US130890212112,130890000000,Block Group 2 Census Tract 212.11 DeKalb County Georgia,1407,25,20,0,20,5,24,16,16,0,8,546,509,412,97,37,252,206,197,9,46,326,143,128,15,183,126,81,52,29,45,108,16,0,16,92
1500000US130890212113,130890000000,Block Group 3 Census Tract 212.11 DeKalb County Georgia,1075,67,23,0,23,44,18,18,0,18,0,252,234,158,76,18,322,258,196,62,64,156,126,94,32,30,49,29,13,16,20,211,35,12,23,176
1500000US130890212131,130890000000,Block Group 1 Census Tract 212.13 DeKalb County Georgia,869,55,23,0,23,32,13,13,0,13,0,225,181,146,35,44,181,154,114,40,27,123,110,68,42,13,77,26,7,19,51,195,0,0,0,195
1500000US130890212132,130890000000,Block Group 2 Census Tract 212.13 DeKalb County Georgia,1740,93,93,0,93,0,54,46,27,19,8,564,469,272,197,95,280,240,174,66,40,356,254,213,41,102,163,90,34,56,73,230,73,24,49,157
1500000US130890212141,130890000000,Block Group 1 Census Tract 212.14 DeKalb County Georgia,1375,153,70,0,70,83,13,0,0,0,13,269,222,120,102,47,242,162,74,88,80,367,174,111,63,193,161,131,56,75,30,170,0,0,0,170
1500000US130890212142,130890000000,Block Group 2 Census Tract 212.14 DeKalb County Georgia,2104,113,12,0,12,101,9,0,0,0,9,571,520,308,212,51,458,298,249,49,160,423,223,132,91,200,147,48,25,23,99,383,61,30,31,322
1500000US130890212143,130890000000,Block Group 3 Census Tract 212.14 DeKalb County Georgia,1077,64,55,0,55,9,54,44,31,13,10,400,319,181,138,81,131,98,90,8,33,205,170,98,72,35,71,18,18,0,53,152,39,19,20,113
