GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; In households:,Estimate; In households: - In family households:,Estimate; In households: - In family households: - Householder:,Estimate; In households: - In family households: - Householder: - Male,Estimate; In households: - In family households: - Householder: - Female,Estimate; In households: - In family households: - Spouse,Estimate; In households: - In family households: - Parent,Estimate; In households: - In family households: - Parent-in-law,Estimate; In households: - In family households: - Other relatives,Estimate; In households: - In family households: - Nonrelatives,Estimate; In households: - In nonfamily households:,Estimate; In households: - In nonfamily households: - Householder:,Estimate; In households: - In nonfamily households: - Householder: - Male:,Estimate; In households: - In nonfamily households: - Householder: - Male: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Male: - Not living alone,Estimate; In households: - In nonfamily households: - Householder: - Female:,Estimate; In households: - In nonfamily households: - Householder: - Female: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Female: - Not living alone,Estimate; In households: - In nonfamily households: - Nonrelatives,Estimate; In group quarters
1500000US130670313091,1.31E+11,Block Group 1 Census Tract 313.09 Cobb County Georgia,124,117,73,19,19,0,13,18,0,23,0,44,44,12,12,0,32,32,0,0,7
1500000US130670313092,1.31E+11,Block Group 2 Census Tract 313.09 Cobb County Georgia,267,267,235,75,23,52,52,26,82,0,0,32,32,7,7,0,25,25,0,0,0
1500000US130670313093,1.31E+11,Block Group 3 Census Tract 313.09 Cobb County Georgia,93,93,44,28,0,28,16,0,0,0,0,49,49,11,11,0,38,38,0,0,0
1500000US130670313094,1.31E+11,Block Group 4 Census Tract 313.09 Cobb County Georgia,137,137,92,0,0,0,21,29,0,0,42,45,45,0,0,0,45,45,0,0,0
1500000US130670313101,1.31E+11,Block Group 1 Census Tract 313.10 Cobb County Georgia,148,145,31,31,0,31,0,0,0,0,0,114,114,0,0,0,114,114,0,0,3
1500000US130670313102,1.31E+11,Block Group 2 Census Tract 313.10 Cobb County Georgia,82,82,31,0,0,0,0,0,0,31,0,51,51,32,0,32,19,19,0,0,0
1500000US130670313103,1.31E+11,Block Group 3 Census Tract 313.10 Cobb County Georgia,98,98,66,22,0,22,0,44,0,0,0,32,32,0,0,0,32,32,0,0,0
1500000US130670313111,1.31E+11,Block Group 1 Census Tract 313.11 Cobb County Georgia,237,237,187,95,59,36,46,46,0,0,0,50,50,0,0,0,50,50,0,0,0
1500000US130670313112,1.31E+11,Block Group 2 Census Tract 313.11 Cobb County Georgia,184,183,140,83,55,28,57,0,0,0,0,43,43,14,14,0,29,29,0,0,1
1500000US130670313113,1.31E+11,Block Group 3 Census Tract 313.11 Cobb County Georgia,48,48,48,16,0,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670313121,1.31E+11,Block Group 1 Census Tract 313.12 Cobb County Georgia,229,229,179,37,17,20,37,79,26,0,0,50,50,12,12,0,38,38,0,0,0
1500000US130670313122,1.31E+11,Block Group 2 Census Tract 313.12 Cobb County Georgia,31,31,18,9,9,0,9,0,0,0,0,13,13,0,0,0,13,13,0,0,0
1500000US130670313123,1.31E+11,Block Group 3 Census Tract 313.12 Cobb County Georgia,185,185,151,68,55,13,55,0,28,0,0,34,34,0,0,0,34,34,0,0,0
1500000US130670313124,1.31E+11,Block Group 4 Census Tract 313.12 Cobb County Georgia,47,47,47,4,0,4,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670313131,1.31E+11,Block Group 1 Census Tract 313.13 Cobb County Georgia,278,278,233,113,113,0,79,18,23,0,0,45,45,30,30,0,15,15,0,0,0
1500000US130670313132,1.31E+11,Block Group 2 Census Tract 313.13 Cobb County Georgia,221,220,206,59,31,28,43,86,0,18,0,14,14,14,14,0,0,0,0,0,1
1500000US130670314041,1.31E+11,Block Group 1 Census Tract 314.04 Cobb County Georgia,205,205,117,74,74,0,43,0,0,0,0,88,88,58,58,0,30,30,0,0,0
1500000US130670314042,1.31E+11,Block Group 2 Census Tract 314.04 Cobb County Georgia,382,382,283,120,92,28,91,27,0,45,0,99,99,27,11,16,72,72,0,0,0
1500000US130670314043,1.31E+11,Block Group 3 Census Tract 314.04 Cobb County Georgia,134,134,98,78,69,9,20,0,0,0,0,36,36,20,20,0,16,16,0,0,0
1500000US130670314044,1.31E+11,Block Group 4 Census Tract 314.04 Cobb County Georgia,48,48,48,24,12,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670314051,1.31E+11,Block Group 1 Census Tract 314.05 Cobb County Georgia,67,66,66,22,11,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1
1500000US130670314052,1.31E+11,Block Group 2 Census Tract 314.05 Cobb County Georgia,176,176,60,45,45,0,15,0,0,0,0,116,116,45,45,0,71,71,0,0,0
1500000US130670314053,1.31E+11,Block Group 3 Census Tract 314.05 Cobb County Georgia,168,168,127,69,55,14,46,12,0,0,0,41,26,26,12,14,0,0,0,15,0
1500000US130670314054,1.31E+11,Block Group 4 Census Tract 314.05 Cobb County Georgia,198,198,171,45,45,0,78,31,0,0,17,27,27,0,0,0,27,27,0,0,0
1500000US130670314055,1.31E+11,Block Group 5 Census Tract 314.05 Cobb County Georgia,20,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5
