GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18
Id,Id2,Geography,Estimate; Total:,Estimate; Science and Engineering - Computers Mathematics and Statistics,Estimate; Science and Engineering - Biological Agricultural and Environmental Sciences,Estimate; Science and Engineering - Physical and Related Sciences,Estimate; Science and Engineering - Psychology,Estimate; Science and Engineering - Social Sciences,Estimate; Science and Engineering - Engineering,Estimate; Science and Engineering - Multidisciplinary Studies,Estimate; Science and Engineering Related Fields,Estimate; Business,Estimate; Education,Estimate; Arts Humanities and Other - Literature and Languages,Estimate; Arts Humanities and Other - Liberal Arts and History,Estimate; Arts Humanities and Other - Visual and Performing Arts,Estimate; Arts Humanities and Other - Communications,Estimate; Arts Humanities and Other - Other
1500000US130670301062,130670000000,Block Group 2 Census Tract 301.06 Cobb County Georgia,428,17,0,16,19,13,93,0,29,119,41,0,0,14,57,10
1500000US130670301063,130670000000,Block Group 3 Census Tract 301.06 Cobb County Georgia,333,0,28,0,0,0,75,0,30,74,54,0,14,25,11,22
1500000US130670301071,130670000000,Block Group 1 Census Tract 301.07 Cobb County Georgia,569,34,29,37,14,44,19,22,63,166,63,8,29,0,14,27
1500000US130670301072,130670000000,Block Group 2 Census Tract 301.07 Cobb County Georgia,994,4,53,56,77,70,71,0,177,325,62,0,78,0,21,0
1500000US130670302091,130670000000,Block Group 1 Census Tract 302.09 Cobb County Georgia,639,0,0,0,0,91,72,0,132,139,54,0,46,9,37,59
1500000US130670302092,130670000000,Block Group 2 Census Tract 302.09 Cobb County Georgia,956,14,17,15,57,17,66,14,145,300,61,76,14,40,0,120
1500000US130670302093,130670000000,Block Group 3 Census Tract 302.09 Cobb County Georgia,823,67,9,0,49,14,51,0,114,234,209,7,0,12,10,47
1500000US130670302141,130670000000,Block Group 1 Census Tract 302.14 Cobb County Georgia,894,0,76,49,49,35,105,0,69,160,130,0,34,0,54,133
1500000US130670302142,130670000000,Block Group 2 Census Tract 302.14 Cobb County Georgia,549,28,25,69,19,0,69,0,39,196,20,0,0,13,17,54
1500000US130670302143,130670000000,Block Group 3 Census Tract 302.14 Cobb County Georgia,762,0,0,20,49,57,87,0,131,193,70,27,0,18,64,46
1500000US130670302151,130670000000,Block Group 1 Census Tract 302.15 Cobb County Georgia,792,84,15,0,89,41,117,16,47,185,102,0,0,0,25,71
1500000US130670302152,130670000000,Block Group 2 Census Tract 302.15 Cobb County Georgia,311,12,0,0,0,26,18,0,13,140,57,0,0,0,37,8
1500000US130670302153,130670000000,Block Group 3 Census Tract 302.15 Cobb County Georgia,169,0,0,0,17,41,0,0,34,26,39,12,0,0,0,0
1500000US130670302154,130670000000,Block Group 4 Census Tract 302.15 Cobb County Georgia,1293,63,131,27,40,130,122,0,112,285,87,19,16,68,64,129
1500000US130670302181,130670000000,Block Group 1 Census Tract 302.18 Cobb County Georgia,1153,31,70,43,7,97,56,0,133,336,201,10,83,0,32,54
1500000US130670302182,130670000000,Block Group 2 Census Tract 302.18 Cobb County Georgia,685,9,43,37,19,68,64,0,88,178,80,0,27,0,32,40
1500000US130670302191,130670000000,Block Group 1 Census Tract 302.19 Cobb County Georgia,688,12,1,13,31,33,72,0,70,128,178,42,58,0,16,34
1500000US130670302192,130670000000,Block Group 2 Census Tract 302.19 Cobb County Georgia,846,32,50,10,0,69,65,0,34,332,96,0,47,12,65,34
1500000US130670302193,130670000000,Block Group 3 Census Tract 302.19 Cobb County Georgia,608,51,38,0,0,0,36,0,36,231,114,13,26,15,0,48
1500000US130670302194,130670000000,Block Group 4 Census Tract 302.19 Cobb County Georgia,921,18,40,39,0,34,92,0,69,347,142,50,27,0,32,31
1500000US130670302201,130670000000,Block Group 1 Census Tract 302.20 Cobb County Georgia,567,23,0,9,115,22,23,14,88,75,100,22,12,16,14,34
1500000US130670302221,130670000000,Block Group 1 Census Tract 302.22 Cobb County Georgia,992,103,26,36,53,58,99,0,37,324,104,35,40,15,34,28
1500000US130670302222,130670000000,Block Group 2 Census Tract 302.22 Cobb County Georgia,627,7,53,5,0,32,69,0,25,128,125,6,97,61,19,0
1500000US130670302223,130670000000,Block Group 3 Census Tract 302.22 Cobb County Georgia,362,18,65,7,21,38,22,0,10,97,28,0,0,20,36,0
1500000US130670302231,130670000000,Block Group 1 Census Tract 302.23 Cobb County Georgia,831,7,100,16,83,80,18,0,34,361,68,0,18,18,21,7
1500000US130670302232,130670000000,Block Group 2 Census Tract 302.23 Cobb County Georgia,727,89,69,10,0,52,36,0,38,117,9,27,121,0,159,0
1500000US130670302233,130670000000,Block Group 3 Census Tract 302.23 Cobb County Georgia,143,20,0,0,0,21,14,0,13,40,14,0,21,0,0,0
