GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51
1500000US131210018003,131210000000,Block Group 3 Census Tract 18 Fulton County Georgia,943,619,581,421,348,20,25,20,8,0,138,86,0,23,16,13,0,22,0,0,0,10,0,12,38,324,264,174,136,9,18,0,0,11,68,22,0,0,0,46,0,22,0,0,0,22,0,0,60
1500000US131210019001,131210000000,Block Group 1 Census Tract 19 Fulton County Georgia,848,495,360,141,72,0,0,15,19,35,54,43,0,0,0,0,11,165,14,0,0,28,99,24,135,353,291,100,31,0,0,0,15,54,63,17,0,0,16,0,30,128,0,0,0,28,28,72,62
1500000US131210019002,131210000000,Block Group 2 Census Tract 19 Fulton County Georgia,3328,2052,1401,903,584,0,8,40,29,242,269,49,44,18,40,32,86,229,34,0,18,65,78,34,651,1276,841,464,399,0,0,0,8,57,143,30,0,24,17,39,33,234,27,0,45,45,29,88,435
1500000US131210021001,131210000000,Block Group 1 Census Tract 21 Fulton County Georgia,2472,1431,856,574,373,29,20,34,45,73,210,51,0,0,59,46,54,72,4,5,11,8,24,20,575,1041,786,521,338,0,53,20,89,21,229,119,0,18,26,36,30,36,4,0,0,0,16,16,255
1500000US131210023001,131210000000,Block Group 1 Census Tract 23 Fulton County Georgia,238,155,82,36,36,0,0,0,0,0,46,12,0,0,0,18,16,0,0,0,0,0,0,0,73,83,69,47,38,0,0,9,0,0,22,0,0,0,8,14,0,0,0,0,0,0,0,0,14
1500000US131210023002,131210000000,Block Group 2 Census Tract 23 Fulton County Georgia,261,150,34,5,0,0,0,0,0,5,13,13,0,0,0,0,0,16,0,0,0,0,0,16,116,111,50,23,23,0,0,0,0,0,27,6,0,21,0,0,0,0,0,0,0,0,0,0,61
1500000US131210023003,131210000000,Block Group 3 Census Tract 23 Fulton County Georgia,292,156,101,101,53,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,136,103,44,39,0,5,0,0,0,51,0,0,11,0,0,40,8,8,0,0,0,0,0,33
1500000US131210024001,131210000000,Block Group 1 Census Tract 24 Fulton County Georgia,733,393,312,224,153,0,4,22,13,32,83,15,0,8,0,52,8,5,0,0,0,0,0,5,81,340,240,163,130,0,5,0,11,17,77,34,0,0,32,11,0,0,0,0,0,0,0,0,100
1500000US131210024002,131210000000,Block Group 2 Census Tract 24 Fulton County Georgia,526,287,165,133,84,27,0,0,10,12,32,0,0,0,13,11,8,0,0,0,0,0,0,0,122,239,186,151,108,0,4,39,0,0,35,31,0,0,0,0,4,0,0,0,0,0,0,0,53
1500000US131210025001,131210000000,Block Group 1 Census Tract 25 Fulton County Georgia,983,503,279,203,164,0,0,17,11,11,63,37,8,14,0,0,4,13,13,0,0,0,0,0,224,480,332,177,140,5,0,17,15,0,155,96,11,20,17,11,0,0,0,0,0,0,0,0,148
1500000US131210025002,131210000000,Block Group 2 Census Tract 25 Fulton County Georgia,378,262,186,136,94,0,10,21,11,0,30,0,5,0,13,0,12,20,0,0,0,0,5,15,76,116,70,52,23,9,0,10,10,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,46
1500000US131210026001,131210000000,Block Group 1 Census Tract 26 Fulton County Georgia,755,450,384,297,278,0,13,6,0,0,81,35,0,7,5,28,6,6,0,0,0,6,0,0,66,305,176,111,77,9,7,7,11,0,65,26,0,0,0,0,39,0,0,0,0,0,0,0,129
1500000US131210028001,131210000000,Block Group 1 Census Tract 28 Fulton County Georgia,3562,1669,898,455,338,4,27,46,8,32,250,5,0,26,52,75,92,193,54,0,0,13,49,77,771,1893,1123,410,327,18,12,0,28,25,391,77,11,39,129,60,75,322,44,0,13,165,18,82,770
1500000US131210028002,131210000000,Block Group 2 Census Tract 28 Fulton County Georgia,164,114,34,5,0,0,0,0,0,5,0,0,0,0,0,0,0,29,0,0,0,0,0,29,80,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1500000US131210029001,131210000000,Block Group 1 Census Tract 29 Fulton County Georgia,2189,1162,1006,969,826,20,21,67,29,6,13,9,0,0,4,0,0,24,0,0,6,9,0,9,156,1027,926,809,713,15,12,34,15,20,92,71,0,21,0,0,0,25,0,0,15,0,0,10,101
1500000US131210030001,131210000000,Block Group 1 Census Tract 30 Fulton County Georgia,1178,564,564,481,470,0,0,4,0,7,64,20,11,0,17,5,11,19,0,0,0,19,0,0,0,614,506,394,318,17,6,37,9,7,97,66,0,0,24,0,7,15,0,0,7,0,8,0,108
