GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Now married: - Married spouse present,Estimate; Male: - Now married: - Married spouse absent:,Estimate; Male: - Now married: - Married spouse absent: - Separated,Estimate; Male: - Now married: - Married spouse absent: - Other,Estimate; Male: - Widowed,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Now married: - Married spouse present,Estimate; Female: - Now married: - Married spouse absent:,Estimate; Female: - Now married: - Married spouse absent: - Separated,Estimate; Female: - Now married: - Married spouse absent: - Other,Estimate; Female: - Widowed,Estimate; Female: - Divorced
1500000US131210111003,1.31E+11,Block Group 3 Census Tract 111 Fulton County Georgia,549,209,75,90,90,0,0,0,0,44,340,145,93,93,0,0,0,0,102
1500000US131210112011,1.31E+11,Block Group 1 Census Tract 112.01 Fulton County Georgia,910,373,249,105,105,0,0,0,0,19,537,330,145,105,40,20,20,6,56
1500000US131210112012,1.31E+11,Block Group 2 Census Tract 112.01 Fulton County Georgia,947,454,272,124,80,44,33,11,41,17,493,331,123,79,44,44,0,9,30
1500000US131210112013,1.31E+11,Block Group 3 Census Tract 112.01 Fulton County Georgia,1261,782,693,59,59,0,0,0,0,30,479,150,79,60,19,19,0,110,140
1500000US131210112021,1.31E+11,Block Group 1 Census Tract 112.02 Fulton County Georgia,410,178,98,53,53,0,0,0,12,15,232,73,66,52,14,14,0,16,77
1500000US131210112022,1.31E+11,Block Group 2 Census Tract 112.02 Fulton County Georgia,487,232,125,68,68,0,0,0,0,39,255,82,97,66,31,31,0,6,70
1500000US131210112023,1.31E+11,Block Group 3 Census Tract 112.02 Fulton County Georgia,831,450,270,151,87,64,31,33,12,17,381,227,79,70,9,7,2,28,47
1500000US131210112024,1.31E+11,Block Group 4 Census Tract 112.02 Fulton County Georgia,899,437,215,188,83,105,105,0,19,15,462,294,107,81,26,26,0,7,54
1500000US131210112025,1.31E+11,Block Group 5 Census Tract 112.02 Fulton County Georgia,944,458,274,148,130,18,18,0,0,36,486,186,135,123,12,12,0,16,149
1500000US131210112026,1.31E+11,Block Group 6 Census Tract 112.02 Fulton County Georgia,508,155,9,64,64,0,0,0,22,60,353,139,123,66,57,57,0,42,49
