GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51
1500000US130630404162,130630000000,Block Group 2 Census Tract 404.16 Clayton County Georgia,114,68,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
1500000US130630404171,130630000000,Block Group 1 Census Tract 404.17 Clayton County Georgia,55,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
1500000US130630404172,130630000000,Block Group 2 Census Tract 404.17 Clayton County Georgia,85,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,36,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
1500000US130630404173,130630000000,Block Group 3 Census Tract 404.17 Clayton County Georgia,107,77,47,0,0,0,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1500000US130630405091,130630000000,Block Group 1 Census Tract 405.09 Clayton County Georgia,228,135,12,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,123,93,27,5,5,0,0,0,0,0,16,0,0,0,8,0,8,6,0,0,0,6,0,0,66
1500000US130630405092,130630000000,Block Group 2 Census Tract 405.09 Clayton County Georgia,176,56,27,19,11,0,0,0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,29,120,28,24,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,92
1500000US130630405101,130630000000,Block Group 1 Census Tract 405.10 Clayton County Georgia,136,57,27,17,17,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,30,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
1500000US130630405102,130630000000,Block Group 2 Census Tract 405.10 Clayton County Georgia,91,30,9,2,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,21,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
1500000US130630405121,130630000000,Block Group 1 Census Tract 405.12 Clayton County Georgia,137,47,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,90,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
1500000US130630405122,130630000000,Block Group 2 Census Tract 405.12 Clayton County Georgia,77,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1500000US130630405123,130630000000,Block Group 3 Census Tract 405.12 Clayton County Georgia,107,57,37,0,0,0,0,0,0,0,14,0,0,0,0,0,14,23,0,0,0,0,23,0,20,50,31,19,0,0,19,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,19
1500000US130630405131,130630000000,Block Group 1 Census Tract 405.13 Clayton County Georgia,207,122,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
1500000US130630405132,130630000000,Block Group 2 Census Tract 405.13 Clayton County Georgia,496,140,84,8,8,0,0,0,0,0,51,44,0,0,0,7,0,25,0,0,0,0,0,25,56,356,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
1500000US130630405133,130630000000,Block Group 3 Census Tract 405.13 Clayton County Georgia,164,60,14,7,7,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,46,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
1500000US130630405141,130630000000,Block Group 1 Census Tract 405.14 Clayton County Georgia,57,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,24
1500000US130630405142,130630000000,Block Group 2 Census Tract 405.14 Clayton County Georgia,134,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
1500000US130630405143,130630000000,Block Group 3 Census Tract 405.14 Clayton County Georgia,264,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,52,181,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
1500000US130630405151,130630000000,Block Group 1 Census Tract 405.15 Clayton County Georgia,51,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1500000US130630405152,130630000000,Block Group 2 Census Tract 405.15 Clayton County Georgia,190,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
1500000US130630405153,130630000000,Block Group 3 Census Tract 405.15 Clayton County Georgia,76,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
1500000US130630405154,130630000000,Block Group 4 Census Tract 405.15 Clayton County Georgia,120,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,60
1500000US130630405161,130630000000,Block Group 1 Census Tract 405.16 Clayton County Georgia,302,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,264,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251
1500000US130630405162,130630000000,Block Group 2 Census Tract 405.16 Clayton County Georgia,57,22,22,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
