GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Estimate; Total: - Two or more races: - Two races excluding Some other race and three or more races
1500000US130630406142,1.31E+11,Block Group 2 Census Tract 406.14 Clayton County Georgia,1728,1038,264,0,245,0,145,36,17,19
1500000US130630406143,1.31E+11,Block Group 3 Census Tract 406.14 Clayton County Georgia,1424,663,707,0,18,0,12,24,24,0
1500000US130630406151,1.31E+11,Block Group 1 Census Tract 406.15 Clayton County Georgia,2107,304,1593,0,91,0,118,1,0,1
1500000US130630406161,1.31E+11,Block Group 1 Census Tract 406.16 Clayton County Georgia,5351,502,4621,0,141,0,14,73,0,73
1500000US130630406162,1.31E+11,Block Group 2 Census Tract 406.16 Clayton County Georgia,614,110,476,0,15,0,13,0,0,0
1500000US130630406163,1.31E+11,Block Group 3 Census Tract 406.16 Clayton County Georgia,1936,438,1311,0,0,0,0,187,125,62
1500000US130630406171,1.31E+11,Block Group 1 Census Tract 406.17 Clayton County Georgia,1609,1130,16,0,0,0,463,0,0,0
1500000US130630406191,1.31E+11,Block Group 1 Census Tract 406.19 Clayton County Georgia,3280,515,2423,0,86,0,11,245,86,159
1500000US130630406201,1.31E+11,Block Group 1 Census Tract 406.20 Clayton County Georgia,3325,827,2342,0,0,0,38,118,0,118
1500000US130630406211,1.31E+11,Block Group 1 Census Tract 406.21 Clayton County Georgia,5542,782,4520,0,24,0,128,88,0,88
1500000US130630406212,1.31E+11,Block Group 2 Census Tract 406.21 Clayton County Georgia,4137,987,2858,0,12,0,240,40,0,40
1500000US130630406221,1.31E+11,Block Group 1 Census Tract 406.22 Clayton County Georgia,3379,342,2634,67,31,0,236,69,0,69
1500000US130630406222,1.31E+11,Block Group 2 Census Tract 406.22 Clayton County Georgia,3305,986,1596,0,294,0,429,0,0,0
1500000US130630406223,1.31E+11,Block Group 3 Census Tract 406.22 Clayton County Georgia,1243,228,909,0,21,0,0,85,0,85
1500000US130639800001,1.31E+11,Block Group 1 Census Tract 9800 Clayton County Georgia,0,0,0,0,0,0,0,0,0,0
1500000US130670301011,1.31E+11,Block Group 1 Census Tract 301.01 Cobb County Georgia,1081,1025,0,26,17,0,0,13,0,13
1500000US130670301012,1.31E+11,Block Group 2 Census Tract 301.01 Cobb County Georgia,1442,917,324,0,0,10,165,26,0,26
1500000US130670301013,1.31E+11,Block Group 3 Census Tract 301.01 Cobb County Georgia,3028,2903,0,0,15,0,110,0,0,0
1500000US130670301014,1.31E+11,Block Group 4 Census Tract 301.01 Cobb County Georgia,1773,1567,206,0,0,0,0,0,0,0
1500000US130670301031,1.31E+11,Block Group 1 Census Tract 301.03 Cobb County Georgia,2061,1421,600,0,40,0,0,0,0,0
1500000US130670301032,1.31E+11,Block Group 2 Census Tract 301.03 Cobb County Georgia,2733,1588,870,0,210,0,0,65,0,65
1500000US130670301033,1.31E+11,Block Group 3 Census Tract 301.03 Cobb County Georgia,4579,3107,924,33,163,0,137,215,42,173
1500000US130670301041,1.31E+11,Block Group 1 Census Tract 301.04 Cobb County Georgia,934,719,140,0,14,0,61,0,0,0
1500000US130670301042,1.31E+11,Block Group 2 Census Tract 301.04 Cobb County Georgia,2709,1514,791,13,154,0,204,33,0,33
1500000US130670301061,1.31E+11,Block Group 1 Census Tract 301.06 Cobb County Georgia,2384,1315,548,272,100,0,149,0,0,0
1500000US130670301062,1.31E+11,Block Group 2 Census Tract 301.06 Cobb County Georgia,2037,1033,539,0,160,0,250,55,0,55
1500000US130670301063,1.31E+11,Block Group 3 Census Tract 301.06 Cobb County Georgia,3149,1482,1306,26,12,0,308,15,0,15
1500000US130670301071,1.31E+11,Block Group 1 Census Tract 301.07 Cobb County Georgia,2059,1142,782,0,59,0,0,76,0,76
1500000US130670301072,1.31E+11,Block Group 2 Census Tract 301.07 Cobb County Georgia,2611,1247,902,0,273,0,8,181,0,181
1500000US130670302091,1.31E+11,Block Group 1 Census Tract 302.09 Cobb County Georgia,1558,1392,24,32,110,0,0,0,0,0
1500000US130670302092,1.31E+11,Block Group 2 Census Tract 302.09 Cobb County Georgia,1987,1389,598,0,0,0,0,0,0,0
1500000US130670302093,1.31E+11,Block Group 3 Census Tract 302.09 Cobb County Georgia,3047,1984,768,0,62,0,0,233,203,30
1500000US130670302141,1.31E+11,Block Group 1 Census Tract 302.14 Cobb County Georgia,3225,2895,160,0,40,0,0,130,0,130
1500000US130670302142,1.31E+11,Block Group 2 Census Tract 302.14 Cobb County Georgia,2255,1369,609,79,198,0,0,0,0,0
1500000US130670302143,1.31E+11,Block Group 3 Census Tract 302.14 Cobb County Georgia,2962,2263,361,0,249,0,45,44,0,44
1500000US130670302151,1.31E+11,Block Group 1 Census Tract 302.15 Cobb County Georgia,2489,2062,192,0,179,0,0,56,0,56
1500000US130670302152,1.31E+11,Block Group 2 Census Tract 302.15 Cobb County Georgia,1562,789,122,0,63,0,477,111,0,111
1500000US130670302153,1.31E+11,Block Group 3 Census Tract 302.15 Cobb County Georgia,1342,1158,49,0,0,0,43,92,92,0
1500000US130670302154,1.31E+11,Block Group 4 Census Tract 302.15 Cobb County Georgia,3782,2673,616,40,407,0,0,46,0,46
1500000US130670302181,1.31E+11,Block Group 1 Census Tract 302.18 Cobb County Georgia,2959,2143,476,0,75,0,206,59,34,25
1500000US130670302182,1.31E+11,Block Group 2 Census Tract 302.18 Cobb County Georgia,2642,2324,238,0,68,0,0,12,0,12
1500000US130670302191,1.31E+11,Block Group 1 Census Tract 302.19 Cobb County Georgia,2271,1525,602,37,18,0,0,89,0,89
1500000US130670302192,1.31E+11,Block Group 2 Census Tract 302.19 Cobb County Georgia,2224,2005,31,0,144,0,23,21,0,21
1500000US130670302193,1.31E+11,Block Group 3 Census Tract 302.19 Cobb County Georgia,2554,2358,79,0,102,0,0,15,0,15
1500000US130670302194,1.31E+11,Block Group 4 Census Tract 302.19 Cobb County Georgia,2271,2101,46,0,42,0,18,64,64,0
1500000US130670302201,1.31E+11,Block Group 1 Census Tract 302.20 Cobb County Georgia,1810,1290,371,10,63,0,55,21,0,21
1500000US130670302221,1.31E+11,Block Group 1 Census Tract 302.22 Cobb County Georgia,2793,2467,110,14,185,0,0,17,0,17
1500000US130670302222,1.31E+11,Block Group 2 Census Tract 302.22 Cobb County Georgia,2162,1882,205,0,28,0,47,0,0,0
1500000US130670302223,1.31E+11,Block Group 3 Census Tract 302.22 Cobb County Georgia,915,737,156,0,0,0,22,0,0,0
1500000US130670302231,1.31E+11,Block Group 1 Census Tract 302.23 Cobb County Georgia,2845,1836,889,0,48,0,0,72,0,72
1500000US130670302232,1.31E+11,Block Group 2 Census Tract 302.23 Cobb County Georgia,2195,1194,753,71,97,0,0,80,0,80
1500000US130670302233,1.31E+11,Block Group 3 Census Tract 302.23 Cobb County Georgia,685,660,25,0,0,0,0,0,0,0
1500000US130670302241,1.31E+11,Block Group 1 Census Tract 302.24 Cobb County Georgia,5076,3280,1145,0,227,0,155,269,33,236
1500000US130670302242,1.31E+11,Block Group 2 Census Tract 302.24 Cobb County Georgia,1153,646,419,0,26,0,44,18,18,0
1500000US130670302261,1.31E+11,Block Group 1 Census Tract 302.26 Cobb County Georgia,4093,2414,939,0,300,0,280,160,53,107
1500000US130670302262,1.31E+11,Block Group 2 Census Tract 302.26 Cobb County Georgia,1657,1359,97,0,122,0,17,62,35,27
1500000US130670302263,1.31E+11,Block Group 3 Census Tract 302.26 Cobb County Georgia,2780,2305,337,0,37,0,7,94,10,84
1500000US130670302271,1.31E+11,Block Group 1 Census Tract 302.27 Cobb County Georgia,1920,973,638,0,0,0,232,77,77,0
1500000US130670302272,1.31E+11,Block Group 2 Census Tract 302.27 Cobb County Georgia,3152,1403,1192,0,155,0,325,77,0,77
1500000US130670302273,1.31E+11,Block Group 3 Census Tract 302.27 Cobb County Georgia,2623,1585,626,0,315,0,88,9,0,9
1500000US130670302281,1.31E+11,Block Group 1 Census Tract 302.28 Cobb County Georgia,2490,1510,928,0,16,0,0,36,21,15
1500000US130670302282,1.31E+11,Block Group 2 Census Tract 302.28 Cobb County Georgia,929,578,146,0,113,0,54,38,0,38
1500000US130670302283,1.31E+11,Block Group 3 Census Tract 302.28 Cobb County Georgia,2294,2136,111,0,0,0,0,47,0,47
1500000US130670302284,1.31E+11,Block Group 4 Census Tract 302.28 Cobb County Georgia,1366,1063,274,0,0,0,0,29,0,29
1500000US130670302291,1.31E+11,Block Group 1 Census Tract 302.29 Cobb County Georgia,255,197,25,0,22,0,0,11,11,0
1500000US130670302292,1.31E+11,Block Group 2 Census Tract 302.29 Cobb County Georgia,4970,3758,772,0,87,0,298,55,0,55
1500000US130670302301,1.31E+11,Block Group 1 Census Tract 302.30 Cobb County Georgia,8323,4887,2722,0,320,0,181,213,0,213
1500000US130670302302,1.31E+11,Block Group 2 Census Tract 302.30 Cobb County Georgia,4964,3407,1153,43,250,0,0,111,0,111
1500000US130670302311,1.31E+11,Block Group 1 Census Tract 302.31 Cobb County Georgia,834,564,7,0,111,0,125,27,0,27
1500000US130670302312,1.31E+11,Block Group 2 Census Tract 302.31 Cobb County Georgia,1840,1552,175,0,104,0,0,9,0,9
1500000US130670302313,1.31E+11,Block Group 3 Census Tract 302.31 Cobb County Georgia,1787,1741,11,0,0,0,0,35,0,35
1500000US130670302314,1.31E+11,Block Group 4 Census Tract 302.31 Cobb County Georgia,2825,2490,265,0,70,0,0,0,0,0
