GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Private for-profit wage and salary workers:,Estimate; Male: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Male: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Male: - Private not-for-profit wage and salary workers,Estimate; Male: - Local government workers,Estimate; Male: - State government workers,Estimate; Male: - Federal government workers,Estimate; Male: - Self-employed in own not incorporated business workers,Estimate; Male: - Unpaid family workers,Estimate; Female:,Estimate; Female: - Private for-profit wage and salary workers:,Estimate; Female: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Female: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Female: - Private not-for-profit wage and salary workers,Estimate; Female: - Local government workers,Estimate; Female: - State government workers,Estimate; Female: - Federal government workers,Estimate; Female: - Self-employed in own not incorporated business workers,Estimate; Female: - Unpaid family workers
1500000US130630405152,130630000000,Block Group 2 Census Tract 405.15 Clayton County Georgia,958,516,412,412,0,0,49,0,38,17,0,442,318,318,0,19,43,48,0,0,14
1500000US130630405153,130630000000,Block Group 3 Census Tract 405.15 Clayton County Georgia,687,422,360,360,0,0,15,33,14,0,0,265,199,199,0,24,26,16,0,0,0
1500000US130630405154,130630000000,Block Group 4 Census Tract 405.15 Clayton County Georgia,1316,600,461,448,13,73,9,15,29,13,0,716,481,443,38,102,61,0,40,32,0
1500000US130630405161,130630000000,Block Group 1 Census Tract 405.16 Clayton County Georgia,1374,597,505,505,0,0,12,0,0,45,35,777,560,543,17,20,42,25,66,64,0
1500000US130630405162,130630000000,Block Group 2 Census Tract 405.16 Clayton County Georgia,528,320,279,255,24,41,0,0,0,0,0,208,146,146,0,15,13,0,34,0,0
1500000US130630405163,130630000000,Block Group 3 Census Tract 405.16 Clayton County Georgia,375,119,76,76,0,0,17,0,0,26,0,256,216,216,0,0,31,9,0,0,0
1500000US130630405181,130630000000,Block Group 1 Census Tract 405.18 Clayton County Georgia,161,57,57,49,8,0,0,0,0,0,0,104,86,86,0,7,0,11,0,0,0
1500000US130630405182,130630000000,Block Group 2 Census Tract 405.18 Clayton County Georgia,1052,499,395,377,18,6,9,0,21,68,0,553,309,297,12,11,83,0,108,42,0
1500000US130630405183,130630000000,Block Group 3 Census Tract 405.18 Clayton County Georgia,629,407,364,355,9,0,11,0,0,32,0,222,167,166,1,10,12,16,0,17,0
1500000US130630405191,130630000000,Block Group 1 Census Tract 405.19 Clayton County Georgia,1681,854,699,699,0,91,28,0,15,21,0,827,712,697,15,52,27,36,0,0,0
