GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08
Id,Id2,Geography,Estimate; Total:,Estimate; Own child:,Estimate; Own child: - Biological child,Estimate; Own child: - Adopted child,Estimate; Own child: - Stepchild,Estimate; Grandchild,Estimate; Other relatives,Estimate; Foster child or other unrelated child
1500000US130670302314,1.31E+11,Block Group 4 Census Tract 302.31 Cobb County Georgia,556,531,531,0,0,25,0,0
1500000US130670302321,1.31E+11,Block Group 1 Census Tract 302.32 Cobb County Georgia,827,791,766,12,13,25,0,11
1500000US130670302322,1.31E+11,Block Group 2 Census Tract 302.32 Cobb County Georgia,756,660,660,0,0,85,0,11
1500000US130670302331,1.31E+11,Block Group 1 Census Tract 302.33 Cobb County Georgia,524,492,463,0,29,0,32,0
1500000US130670302332,1.31E+11,Block Group 2 Census Tract 302.33 Cobb County Georgia,758,749,713,27,9,9,0,0
1500000US130670302341,1.31E+11,Block Group 1 Census Tract 302.34 Cobb County Georgia,1031,1005,965,32,8,26,0,0
1500000US130670302342,1.31E+11,Block Group 2 Census Tract 302.34 Cobb County Georgia,632,612,602,10,0,0,10,10
1500000US130670302351,1.31E+11,Block Group 1 Census Tract 302.35 Cobb County Georgia,336,269,236,13,20,67,0,0
1500000US130670302352,1.31E+11,Block Group 2 Census Tract 302.35 Cobb County Georgia,949,886,829,6,51,63,0,0
1500000US130670302361,1.31E+11,Block Group 1 Census Tract 302.36 Cobb County Georgia,896,896,835,61,0,0,0,0
1500000US130670302362,1.31E+11,Block Group 2 Census Tract 302.36 Cobb County Georgia,468,450,450,0,0,14,4,0
1500000US130670302381,1.31E+11,Block Group 1 Census Tract 302.38 Cobb County Georgia,858,839,768,71,0,19,0,0
1500000US130670302382,1.31E+11,Block Group 2 Census Tract 302.38 Cobb County Georgia,1038,967,967,0,0,57,0,14
1500000US130670302391,1.31E+11,Block Group 1 Census Tract 302.39 Cobb County Georgia,495,480,465,0,15,0,15,0
1500000US130670302392,1.31E+11,Block Group 2 Census Tract 302.39 Cobb County Georgia,675,553,533,13,7,91,0,31
1500000US130670302393,1.31E+11,Block Group 3 Census Tract 302.39 Cobb County Georgia,1083,1072,1035,19,18,0,0,11
1500000US130670303101,1.31E+11,Block Group 1 Census Tract 303.10 Cobb County Georgia,439,310,284,13,13,35,69,25
1500000US130670303102,1.31E+11,Block Group 2 Census Tract 303.10 Cobb County Georgia,612,574,464,0,110,38,0,0
1500000US130670303103,1.31E+11,Block Group 3 Census Tract 303.10 Cobb County Georgia,157,157,146,11,0,0,0,0
1500000US130670303104,1.31E+11,Block Group 4 Census Tract 303.10 Cobb County Georgia,727,683,502,0,181,44,0,0
1500000US130670303105,1.31E+11,Block Group 5 Census Tract 303.10 Cobb County Georgia,215,206,197,0,9,9,0,0
1500000US130670303111,1.31E+11,Block Group 1 Census Tract 303.11 Cobb County Georgia,457,445,428,0,17,12,0,0
1500000US130670303112,1.31E+11,Block Group 2 Census Tract 303.11 Cobb County Georgia,184,184,184,0,0,0,0,0
1500000US130670303113,1.31E+11,Block Group 3 Census Tract 303.11 Cobb County Georgia,331,331,321,0,10,0,0,0
1500000US130670303114,1.31E+11,Block Group 4 Census Tract 303.11 Cobb County Georgia,402,386,331,0,55,0,16,0
1500000US130670303121,1.31E+11,Block Group 1 Census Tract 303.12 Cobb County Georgia,545,545,503,18,24,0,0,0
1500000US130670303122,1.31E+11,Block Group 2 Census Tract 303.12 Cobb County Georgia,490,490,490,0,0,0,0,0
1500000US130670303123,1.31E+11,Block Group 3 Census Tract 303.12 Cobb County Georgia,192,164,164,0,0,28,0,0
1500000US130670303124,1.31E+11,Block Group 4 Census Tract 303.12 Cobb County Georgia,214,214,134,80,0,0,0,0
1500000US130670303131,1.31E+11,Block Group 1 Census Tract 303.13 Cobb County Georgia,325,306,306,0,0,0,19,0
1500000US130670303132,1.31E+11,Block Group 2 Census Tract 303.13 Cobb County Georgia,21,21,21,0,0,0,0,0
1500000US130670303133,1.31E+11,Block Group 3 Census Tract 303.13 Cobb County Georgia,332,319,293,0,26,13,0,0
1500000US130670303134,1.31E+11,Block Group 4 Census Tract 303.13 Cobb County Georgia,336,323,305,0,18,0,0,13
1500000US130670303135,1.31E+11,Block Group 5 Census Tract 303.13 Cobb County Georgia,715,603,577,0,26,91,21,0
1500000US130670303141,1.31E+11,Block Group 1 Census Tract 303.14 Cobb County Georgia,714,657,644,13,0,57,0,0
1500000US130670303142,1.31E+11,Block Group 2 Census Tract 303.14 Cobb County Georgia,661,573,530,43,0,69,0,19
1500000US130670303143,1.31E+11,Block Group 3 Census Tract 303.14 Cobb County Georgia,868,828,768,0,60,40,0,0
1500000US130670303181,1.31E+11,Block Group 1 Census Tract 303.18 Cobb County Georgia,687,687,643,23,21,0,0,0
1500000US130670303182,1.31E+11,Block Group 2 Census Tract 303.18 Cobb County Georgia,874,861,861,0,0,13,0,0
