GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - English only,Estimate; Total: - Spanish:,Estimate; Total: - Spanish: - Limited English speaking household,Estimate; Total: - Spanish: - Not a limited English speaking household,Estimate; Total: - Other Indo-European languages:,Estimate; Total: - Other Indo-European languages: - Limited English speaking household,Estimate; Total: - Other Indo-European languages: - Not a limited English speaking household,Estimate; Total: - Asian and Pacific Island languages:,Estimate; Total: - Asian and Pacific Island languages: - Limited English speaking household,Estimate; Total: - Asian and Pacific Island languages: - Not a limited English speaking household,Estimate; Total: - Other languages:,Estimate; Total: - Other languages: - Limited English speaking household,Estimate; Total: - Other languages: - Not a limited English speaking household
1500000US130670303123,1.31E+11,Block Group 3 Census Tract 303.12 Cobb County Georgia,512,466,46,0,46,0,0,0,0,0,0,0,0,0
1500000US130670303124,1.31E+11,Block Group 4 Census Tract 303.12 Cobb County Georgia,255,243,12,0,12,0,0,0,0,0,0,0,0,0
1500000US130670303131,1.31E+11,Block Group 1 Census Tract 303.13 Cobb County Georgia,509,288,142,60,82,48,0,48,31,0,31,0,0,0
1500000US130670303132,1.31E+11,Block Group 2 Census Tract 303.13 Cobb County Georgia,288,218,0,0,0,70,17,53,0,0,0,0,0,0
1500000US130670303133,1.31E+11,Block Group 3 Census Tract 303.13 Cobb County Georgia,405,366,39,0,39,0,0,0,0,0,0,0,0,0
1500000US130670303134,1.31E+11,Block Group 4 Census Tract 303.13 Cobb County Georgia,582,456,47,16,31,64,0,64,15,15,0,0,0,0
1500000US130670303135,1.31E+11,Block Group 5 Census Tract 303.13 Cobb County Georgia,1048,796,83,0,83,51,0,51,118,0,118,0,0,0
1500000US130670303141,1.31E+11,Block Group 1 Census Tract 303.14 Cobb County Georgia,825,649,107,0,107,27,0,27,10,0,10,32,0,32
1500000US130670303142,1.31E+11,Block Group 2 Census Tract 303.14 Cobb County Georgia,873,714,65,0,65,63,0,63,31,0,31,0,0,0
1500000US130670303143,1.31E+11,Block Group 3 Census Tract 303.14 Cobb County Georgia,990,847,58,6,52,28,0,28,57,25,32,0,0,0
1500000US130670303181,1.31E+11,Block Group 1 Census Tract 303.18 Cobb County Georgia,850,706,49,0,49,28,0,28,37,0,37,30,0,30
1500000US130670303182,1.31E+11,Block Group 2 Census Tract 303.18 Cobb County Georgia,1104,957,19,0,19,71,0,71,25,0,25,32,0,32
1500000US130670303183,1.31E+11,Block Group 3 Census Tract 303.18 Cobb County Georgia,861,821,0,0,0,28,0,28,12,0,12,0,0,0
1500000US130670303191,1.31E+11,Block Group 1 Census Tract 303.19 Cobb County Georgia,665,506,38,0,38,60,10,50,51,0,51,10,0,10
1500000US130670303192,1.31E+11,Block Group 2 Census Tract 303.19 Cobb County Georgia,922,797,16,0,16,85,0,85,24,10,14,0,0,0
1500000US130670303201,1.31E+11,Block Group 1 Census Tract 303.20 Cobb County Georgia,1667,1306,97,15,82,157,0,157,67,26,41,40,0,40
1500000US130670303202,1.31E+11,Block Group 2 Census Tract 303.20 Cobb County Georgia,1003,848,64,0,64,64,0,64,27,0,27,0,0,0
1500000US130670303203,1.31E+11,Block Group 3 Census Tract 303.20 Cobb County Georgia,1042,782,55,0,55,121,12,109,74,60,14,10,0,10
1500000US130670303221,1.31E+11,Block Group 1 Census Tract 303.22 Cobb County Georgia,418,344,51,0,51,23,0,23,0,0,0,0,0,0
1500000US130670303222,1.31E+11,Block Group 2 Census Tract 303.22 Cobb County Georgia,700,632,39,9,30,0,0,0,22,0,22,7,0,7
1500000US130670303241,1.31E+11,Block Group 1 Census Tract 303.24 Cobb County Georgia,634,525,75,26,49,34,0,34,0,0,0,0,0,0
1500000US130670303242,1.31E+11,Block Group 2 Census Tract 303.24 Cobb County Georgia,611,528,20,0,20,56,0,56,7,0,7,0,0,0
1500000US130670303261,1.31E+11,Block Group 1 Census Tract 303.26 Cobb County Georgia,522,378,36,0,36,40,0,40,68,8,60,0,0,0
1500000US130670303262,1.31E+11,Block Group 2 Census Tract 303.26 Cobb County Georgia,556,492,0,0,0,35,9,26,19,0,19,10,0,10
1500000US130670303263,1.31E+11,Block Group 3 Census Tract 303.26 Cobb County Georgia,367,251,97,26,71,6,0,6,13,0,13,0,0,0
1500000US130670303271,1.31E+11,Block Group 1 Census Tract 303.27 Cobb County Georgia,1007,822,31,0,31,89,0,89,52,0,52,13,0,13
1500000US130670303272,1.31E+11,Block Group 2 Census Tract 303.27 Cobb County Georgia,533,446,62,7,55,8,8,0,9,0,9,8,0,8
1500000US130670303281,1.31E+11,Block Group 1 Census Tract 303.28 Cobb County Georgia,707,672,11,0,11,24,0,24,0,0,0,0,0,0
1500000US130670303282,1.31E+11,Block Group 2 Census Tract 303.28 Cobb County Georgia,899,787,68,0,68,25,0,25,9,0,9,10,0,10
1500000US130670303283,1.31E+11,Block Group 3 Census Tract 303.28 Cobb County Georgia,637,566,22,0,22,15,0,15,23,0,23,11,0,11
1500000US130670303291,1.31E+11,Block Group 1 Census Tract 303.29 Cobb County Georgia,1066,892,30,0,30,62,10,52,76,17,59,6,0,6
1500000US130670303292,1.31E+11,Block Group 2 Census Tract 303.29 Cobb County Georgia,580,513,20,0,20,30,0,30,17,0,17,0,0,0
1500000US130670303301,1.31E+11,Block Group 1 Census Tract 303.30 Cobb County Georgia,561,365,64,0,64,68,0,68,55,8,47,9,0,9
1500000US130670303302,1.31E+11,Block Group 2 Census Tract 303.30 Cobb County Georgia,850,735,69,0,69,11,0,11,19,0,19,16,0,16
1500000US130670303303,1.31E+11,Block Group 3 Census Tract 303.30 Cobb County Georgia,575,429,8,0,8,49,8,41,78,32,46,11,0,11
1500000US130670303311,1.31E+11,Block Group 1 Census Tract 303.31 Cobb County Georgia,816,701,51,0,51,16,0,16,48,0,48,0,0,0
1500000US130670303312,1.31E+11,Block Group 2 Census Tract 303.31 Cobb County Georgia,778,675,49,0,49,15,0,15,39,0,39,0,0,0
1500000US130670303313,1.31E+11,Block Group 3 Census Tract 303.31 Cobb County Georgia,395,354,3,0,3,38,0,38,0,0,0,0,0,0
1500000US130670303321,1.31E+11,Block Group 1 Census Tract 303.32 Cobb County Georgia,507,480,9,0,9,11,0,11,7,0,7,0,0,0
1500000US130670303322,1.31E+11,Block Group 2 Census Tract 303.32 Cobb County Georgia,641,527,26,0,26,32,0,32,56,0,56,0,0,0
1500000US130670303331,1.31E+11,Block Group 1 Census Tract 303.33 Cobb County Georgia,1075,843,61,0,61,107,0,107,32,15,17,32,32,0
1500000US130670303332,1.31E+11,Block Group 2 Census Tract 303.33 Cobb County Georgia,682,582,34,0,34,0,0,0,66,0,66,0,0,0
1500000US130670303333,1.31E+11,Block Group 3 Census Tract 303.33 Cobb County Georgia,403,311,0,0,0,69,0,69,23,0,23,0,0,0
1500000US130670303341,1.31E+11,Block Group 1 Census Tract 303.34 Cobb County Georgia,552,442,37,0,37,41,6,35,25,0,25,7,0,7
1500000US130670303342,1.31E+11,Block Group 2 Census Tract 303.34 Cobb County Georgia,697,633,17,0,17,24,0,24,23,0,23,0,0,0
1500000US130670303351,1.31E+11,Block Group 1 Census Tract 303.35 Cobb County Georgia,861,774,23,0,23,56,8,48,8,8,0,0,0,0
1500000US130670303352,1.31E+11,Block Group 2 Census Tract 303.35 Cobb County Georgia,781,698,19,0,19,35,7,28,16,0,16,13,0,13
1500000US130670303361,1.31E+11,Block Group 1 Census Tract 303.36 Cobb County Georgia,617,455,76,21,55,0,0,0,43,10,33,43,0,43
1500000US130670303362,1.31E+11,Block Group 2 Census Tract 303.36 Cobb County Georgia,532,427,30,0,30,13,0,13,62,0,62,0,0,0
1500000US130670303363,1.31E+11,Block Group 3 Census Tract 303.36 Cobb County Georgia,798,659,30,0,30,42,0,42,54,16,38,13,0,13
1500000US130670303364,1.31E+11,Block Group 4 Census Tract 303.36 Cobb County Georgia,516,440,14,0,14,62,0,62,0,0,0,0,0,0
1500000US130670303371,1.31E+11,Block Group 1 Census Tract 303.37 Cobb County Georgia,570,519,7,0,7,44,0,44,0,0,0,0,0,0
1500000US130670303372,1.31E+11,Block Group 2 Census Tract 303.37 Cobb County Georgia,720,572,65,0,65,73,0,73,10,0,10,0,0,0
1500000US130670303373,1.31E+11,Block Group 3 Census Tract 303.37 Cobb County Georgia,378,323,6,0,6,17,17,0,27,18,9,5,0,5
1500000US130670303391,1.31E+11,Block Group 1 Census Tract 303.39 Cobb County Georgia,851,647,22,0,22,162,0,162,20,0,20,0,0,0
1500000US130670303392,1.31E+11,Block Group 2 Census Tract 303.39 Cobb County Georgia,2227,1838,99,0,99,115,16,99,139,35,104,36,0,36
1500000US130670303401,1.31E+11,Block Group 1 Census Tract 303.40 Cobb County Georgia,670,576,45,0,45,16,0,16,22,0,22,11,0,11
1500000US130670303402,1.31E+11,Block Group 2 Census Tract 303.40 Cobb County Georgia,597,442,57,0,57,46,8,38,38,0,38,14,0,14
1500000US130670303411,1.31E+11,Block Group 1 Census Tract 303.41 Cobb County Georgia,666,613,12,0,12,20,0,20,21,0,21,0,0,0
1500000US130670303412,1.31E+11,Block Group 2 Census Tract 303.41 Cobb County Georgia,860,777,41,0,41,26,0,26,16,16,0,0,0,0
1500000US130670303421,1.31E+11,Block Group 1 Census Tract 303.42 Cobb County Georgia,631,555,18,0,18,22,0,22,36,0,36,0,0,0
1500000US130670303422,1.31E+11,Block Group 2 Census Tract 303.42 Cobb County Georgia,1017,877,32,0,32,74,10,64,11,0,11,23,0,23
1500000US130670303431,1.31E+11,Block Group 1 Census Tract 303.43 Cobb County Georgia,678,589,9,0,9,33,9,24,47,9,38,0,0,0
1500000US130670303432,1.31E+11,Block Group 2 Census Tract 303.43 Cobb County Georgia,590,458,77,6,71,35,21,14,15,0,15,5,0,5
1500000US130670303433,1.31E+11,Block Group 3 Census Tract 303.43 Cobb County Georgia,325,288,19,0,19,18,0,18,0,0,0,0,0,0
1500000US130670303441,1.31E+11,Block Group 1 Census Tract 303.44 Cobb County Georgia,1236,993,22,0,22,109,7,102,44,0,44,68,0,68
1500000US130670303442,1.31E+11,Block Group 2 Census Tract 303.44 Cobb County Georgia,339,256,50,0,50,24,10,14,0,0,0,9,0,9
1500000US130670303443,1.31E+11,Block Group 3 Census Tract 303.44 Cobb County Georgia,291,192,68,0,68,0,0,0,23,0,23,8,0,8
1500000US130670303451,1.31E+11,Block Group 1 Census Tract 303.45 Cobb County Georgia,1001,483,303,205,98,117,51,66,22,0,22,76,26,50
1500000US130670303452,1.31E+11,Block Group 2 Census Tract 303.45 Cobb County Georgia,197,105,0,0,0,69,28,41,23,0,23,0,0,0
1500000US130670303453,1.31E+11,Block Group 3 Census Tract 303.45 Cobb County Georgia,985,556,34,0,34,164,23,141,216,33,183,15,0,15
1500000US130670304051,1.31E+11,Block Group 1 Census Tract 304.05 Cobb County Georgia,1072,735,69,27,42,207,16,191,44,44,0,17,0,17
1500000US130670304052,1.31E+11,Block Group 2 Census Tract 304.05 Cobb County Georgia,638,491,52,11,41,14,0,14,81,34,47,0,0,0
1500000US130670304053,1.31E+11,Block Group 3 Census Tract 304.05 Cobb County Georgia,805,564,63,46,17,164,32,132,0,0,0,14,0,14
1500000US130670304054,1.31E+11,Block Group 4 Census Tract 304.05 Cobb County Georgia,329,288,41,0,41,0,0,0,0,0,0,0,0,0
1500000US130670304071,1.31E+11,Block Group 1 Census Tract 304.07 Cobb County Georgia,696,575,34,0,34,67,35,32,20,0,20,0,0,0
1500000US130670304072,1.31E+11,Block Group 2 Census Tract 304.07 Cobb County Georgia,487,478,9,0,9,0,0,0,0,0,0,0,0,0
1500000US130670304073,1.31E+11,Block Group 3 Census Tract 304.07 Cobb County Georgia,779,612,91,22,69,59,0,59,10,0,10,7,0,7
1500000US130670304081,1.31E+11,Block Group 1 Census Tract 304.08 Cobb County Georgia,585,426,45,22,23,71,34,37,29,12,17,14,7,7
1500000US130670304082,1.31E+11,Block Group 2 Census Tract 304.08 Cobb County Georgia,765,487,49,0,49,160,51,109,69,10,59,0,0,0
1500000US130670304091,1.31E+11,Block Group 1 Census Tract 304.09 Cobb County Georgia,738,632,9,0,9,53,0,53,44,0,44,0,0,0
1500000US130670304092,1.31E+11,Block Group 2 Census Tract 304.09 Cobb County Georgia,519,405,28,0,28,6,0,6,58,33,25,22,0,22
1500000US130670304101,1.31E+11,Block Group 1 Census Tract 304.10 Cobb County Georgia,908,689,109,23,86,110,13,97,0,0,0,0,0,0
1500000US130670304102,1.31E+11,Block Group 2 Census Tract 304.10 Cobb County Georgia,1169,886,113,41,72,68,17,51,11,0,11,91,0,91
1500000US130670304111,1.31E+11,Block Group 1 Census Tract 304.11 Cobb County Georgia,341,192,113,69,44,24,0,24,0,0,0,12,12,0
1500000US130670304112,1.31E+11,Block Group 2 Census Tract 304.11 Cobb County Georgia,347,162,167,35,132,0,0,0,0,0,0,18,0,18
1500000US130670304113,1.31E+11,Block Group 3 Census Tract 304.11 Cobb County Georgia,852,520,233,35,198,67,18,49,13,0,13,19,0,19
1500000US130670304121,1.31E+11,Block Group 1 Census Tract 304.12 Cobb County Georgia,251,215,26,16,10,0,0,0,10,10,0,0,0,0
1500000US130670304122,1.31E+11,Block Group 2 Census Tract 304.12 Cobb County Georgia,973,647,248,77,171,39,0,39,11,0,11,28,0,28
1500000US130670304123,1.31E+11,Block Group 3 Census Tract 304.12 Cobb County Georgia,271,173,70,32,38,14,0,14,6,0,6,8,0,8
1500000US130670304124,1.31E+11,Block Group 4 Census Tract 304.12 Cobb County Georgia,81,81,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670304131,1.31E+11,Block Group 1 Census Tract 304.13 Cobb County Georgia,848,519,168,53,115,100,0,100,61,15,46,0,0,0
1500000US130670304132,1.31E+11,Block Group 2 Census Tract 304.13 Cobb County Georgia,644,284,284,40,244,76,0,76,0,0,0,0,0,0
